Body,Head,Head Coverage,Std_Confidence,PCA_Confidence,Positive Examples,Body size,PCA Body size,Functional_variable,PCA_valid,PCA_invalid,PCA_valid_proportion,PCA_invalid_proportion,Support_valid,Support_invalid,PCABody_valid,PCABody_invalid
?e  father  ?a  ?e  gender  ?b   ,?a  gender  ?b,0.214125561,0.482323232,0.584097859,191,396,327,?a,0.65,0.5606060606060606,0.612565445026178,0.387434554973822,117,74,180,132
?e  gender  ?b  ?e  mother  ?a   ,?a  gender  ?b,0.1132287,0.341216216,0.40562249,101,296,249,?a,0.4260869565217391,0.375,0.9702970297029703,0.0297029702970297,98,3,230,8
?f  gender  ?b  ?a  predecessor  ?f   ,?a  gender  ?b,0.110986547,0.480582524,0.891891892,99,206,111,?a,0.8703703703703703,0.9629629629629629,0.47474747474747475,0.5252525252525253,47,52,54,54
?f  gender  ?b  ?a  parent  ?f   ,?a  gender  ?b,0.325112108,0.38107753,0.5,290,761,580,?a,0.6973684210526315,0.6446280991735537,0.7310344827586207,0.2689655172413793,212,78,304,121
?a  mother  ?f  ?b  name  ?f   ,?a  parent  ?b,0.048625793,0.657142857,0.807017544,46,70,57,?b,0.7346938775510204,0.7692307692307693,0.782608695652174,0.21739130434782608,36,10,49,13
?f  child  ?a  ?b  name  ?f   ,?a  parent  ?b,0.049682875,0.233830846,0.291925466,47,201,161,?b,0.7894736842105263,0.8095238095238095,0.6382978723404256,0.3617021276595745,30,17,38,21
?b  child  ?f  ?a  name  ?f   ,?a  parent  ?b,0.039112051,0.672727273,0.822222222,37,55,45,?b,0.7837837837837838,0.6666666666666666,0.9354838709677419,0.06451612903225806,29,2,37,3
?b  name  ?f  ?a  parent  ?f   ,?a  parent  ?b,0.095137421,0.947368421,0.967741935,90,95,93,?b,0.9701492537313433,0.88,0.7471264367816092,0.25287356321839083,65,22,67,25
?a  child  ?f  ?f  gender  ?b   ,?a  gender  ?b,0.193946188,0.490084986,0.652830189,173,353,265,?a,0.7542372881355932,0.7304347826086957,0.5144508670520231,0.48554913294797686,89,84,118,115
?b  child  ?f  ?f  name  ?a   ,?a  parent  ?b,0.039112051,0.109144543,0.130742049,37,339,283,?b,0.8787878787878788,0.6666666666666666,0.9354838709677419,0.06451612903225806,29,2,33,3
?a  name  ?f  ?f  parent  ?b   ,?a  parent  ?b,0.122621564,0.966666667,0.966666667,116,120,120,?b,0.9859154929577465,0.8571428571428571,0.9210526315789473,0.07894736842105263,70,6,71,7
?f  mother  ?b  ?a  name  ?f   ,?a  parent  ?b,0.038054968,0.818181818,0.923076923,36,44,39,?b,0.868421052631579,0.75,0.9166666666666666,0.08333333333333333,33,3,38,4
?f  father  ?b  ?a  name  ?f   ,?a  parent  ?b,0.057082452,0.710526316,0.947368421,54,76,57,?b,0.8032786885245902,0.8333333333333334,0.9074074074074074,0.09259259259259259,49,5,61,6
?f  name  ?b  ?a  parent  ?f   ,?a  parent  ?b,0.095137421,0.170132325,0.97826087,90,529,92,?b,0.20123839009287925,0.1732283464566929,0.7471264367816092,0.25287356321839083,65,22,323,127
?a  mother  ?f  ?b  spouse  ?f   ,?a  parent  ?b,0.237843552,0.723472669,0.889328063,225,311,253,?b,0.8516483516483516,0.75,0.6919642857142857,0.3080357142857143,155,69,182,92
?a  mother  ?f  ?f  name  ?b   ,?a  parent  ?b,0.048625793,0.255555556,0.793103448,46,180,58,?b,0.2608695652173913,0.3225806451612903,0.782608695652174,0.21739130434782608,36,10,138,31
?e  gender  ?b  ?e  parent  ?a   ,?a  gender  ?b,0.304932735,0.397660819,0.499082569,272,684,545,?a,0.5064935064935064,0.5703703703703704,0.7169117647058824,0.28308823529411764,195,77,385,135
